OBJECTID,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,OLD_ZONING,ZONE_DISTRICT,GLOBALID,ZONING,SHAPEAREA,SHAPELEN
151878,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
151879,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151880,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151877,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,R-5-C,Residential Apartment Zone,,,0,0
151881,http://handbook.dcoz.dc.gov/,"Misc map corrections in Square 5388 on March 30, 2012",Final,UNZONED,,UNZONED,Unzoned,,,0,0
151882,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151883,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151884,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
151885,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151886,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151773,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151774,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151771,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151772,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151775,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151776,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Zoning boundary changed in Square 2852 to match Baist Book entry on Apr 27, 2012",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151777,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Fixed Zoning boundary in Square 3368 to match official zoning records on April 19, 2012",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151778,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151779,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151780,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151782,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-13/,"Official Digital Zoning Map of July 1, 2010",Final,MU-13,Permits medium density mixed-use development in the vicinity of the waterfront,W-2,Mixed-Use Zone,,,0,0
151783,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-14/,"Official Digital Zoning Map of July 1, 2010",Final,MU-14,Permits high density mixed-use development in the vicinity of the waterfront,W-3,Mixed-Use Zone,,,0,0
151784,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,R-5-E,Residential Apartment Zone,,,0,0
151785,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151781,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151786,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151787,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Official Digital Zoning Map of July 1, 2010",Final,MU-6,Permits medium to high density mixed-use development with a focus on residential use,C-2-C,Mixed-Use Zone,,,0,0
151788,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151789,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,R-5-E,Residential Apartment Zone,,,0,0
151790,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-2,"Production, Distribution, and Repair Zone",,,0,0
151791,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151735,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151736,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151737,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Misc map corrections in Square 3710 on April 26, 2012",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151738,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,R-5-E,Residential Apartment Zone,,,0,0
151739,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-9/,"Official Digital Zoning Map of July 1, 2010",Final,MU-9,"Permits high density mixed-use development including office, retail, and housing with a focus on employment",C-3-C,Mixed-Use Zone,,,0,0
151740,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151741,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Misc map corrections in Square 3844 on March 26, 2012",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151742,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151743,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151744,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151745,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151746,http://handbook.dcoz.dc.gov/zones/residential/R-1-A/,"Fixed Zoning boundary in Square 2087 to run along edge of lots on March 16, 2012",Final,R-1-A,Provides areas predominantly developed with detached houses on large lots.,R-1-A,Residential Zone,,,0,0
151747,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151748,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Fixed zoning boundary in Square 3594 to match DCGIS baist map on March 23, 2012; Misc map corrections in Square 804 on Apr 26, 2012",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151749,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151750,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
151751,http://handbook.dcoz.dc.gov/,"Official Digital Zoning Map of July 1, 2010",Final,UNZONED,,UNZONED,Unzoned,,,0,0
151752,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151753,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151754,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
151755,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,R-5-C,Residential Apartment Zone,,,0,0
151756,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Misc map correction in Square 5194 on March 29, 2012",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151758,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151759,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151760,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-3/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-3,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-3,"Production, Distribution, and Repair Zone",,,0,0
151761,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151757,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151762,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151763,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Correction made on March 1, 2012 for a wrongly drawn segment in Square 0306 Parcel 21",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151764,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151765,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-3/,"Fixed Zoning Boundary in Square 3075 to match Official Zoning records on April 18, 2012",Final,PDR-3,"Permits high density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-3,"Production, Distribution, and Repair Zone",,,0,0
151766,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151767,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151768,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151769,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
151770,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed Zoning boundary in Square 5861, 5789, 5805 on April 19, 2012 to match official zoning records",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151715,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151716,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151717,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151718,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151719,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-2/,"Official Digital Zoning Map of July 1, 2010",Final,MU-2,Permits medium density residential and non-residential buildings,SP-2,Mixed-Use Zone,,,0,0
151720,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151721,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151722,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-14/,"Fixed Zoning boundary in Square 5861, 5789, 5805 on April 19, 2012 to match official zoning records",Final,MU-14,Permits high density mixed-use development in the vicinity of the waterfront,W-3,Mixed-Use Zone,,,0,0
151723,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Official Digital Zoning Map of July 1, 2010",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,R-1-B,Residential Zone,,,0,0
151724,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Miscellaneous map corrections in Square 2910 on March 22, 2012",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151725,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,R-5-C,Residential Apartment Zone,,,0,0
151726,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151727,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151728,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151729,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Official Digital Zoning Map of July 1, 2010",Final,MU-6,Permits medium to high density mixed-use development with a focus on residential use,C-2-C,Mixed-Use Zone,,,0,0
151730,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151731,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,R-5-C,Residential Apartment Zone,,,0,0
151732,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Fixed mapping error on March 15, 2012 in Square 1823 to match DCGIS baist map; ZC 530; Fixed mapping error in Square 1825 on Apr 23, 2012",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151733,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed zoning boundary in Square 4335 on March 27, 2012 to match official zoning records",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151734,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,R-5-E,Residential Apartment Zone,,,0,0
148715,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
148716,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
148714,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
148717,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
148718,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
148719,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
148720,http://handbook.dcoz.dc.gov/zones/downtown/d-5/,"Official Digital Zoning Map of July 1, 2010",Final,D-5,Promotes high-density development of commercial and mixed-uses in areas that had been receiving areas for transferable development rights under Chapter 17 of the 1958 Zoning Regulations,C-3-C,Downtown Zone,,,0,0
151681,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Official Digital Zoning Map of July 1, 2010",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
151682,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151683,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,Fixed Error after ZCO 06-11J/12J mistkae,Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151684,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151685,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151686,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Official Digital Zoning Map of July 1, 2010",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151687,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151688,http://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Misc map corrections in Square 5388 on March 30, 2012",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,R-1-B,Residential Zone,,,0,0
151689,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151690,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151691,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151692,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,R-5-C,Residential Apartment Zone,,,0,0
151693,http://handbook.dcoz.dc.gov/zones/downtown/d-2/,"Official Digital Zoning Map of July 1, 2010",Final,D-2,Ensures development consistent with historic resources in the vicinity of Judiciary Square and the White House,SP-2,Downtown Zone,,,0,0
151694,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151696,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151697,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151695,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151698,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151699,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Misc map corrections in Square 4131, 4133, 4134 on March 26, 2012; Misc map corrections in Square 4208 on March 27, 2012, Zoning boundary fixed in Square 4217N on March 27, 2012 to match official zoning records",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151700,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151701,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151702,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed zoning boundary in Square 3187 to match DCGIS baist map on March 23, 2012",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151703,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151704,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151705,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Correction of Maping error to align zoning boundary to match property line between Lots 246 and 244 in Square 0621 on March 7, 2012 ",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",C-2-B,Mixed-Use Zone,,,0,0
151706,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-1,"Permits moderate density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-1,"Production, Distribution, and Repair Zone",,,0,0
151707,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,C-1,Mixed-Use Zone,,,0,0
151708,http://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery",C-M-2,"Production, Distribution, and Repair Zone",,,0,0
151709,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-7/,"Fixed Mapping error of lot ssl 4507 936, 07/14/11, Misc map correction in Square 4068 on March 26, 2012; Misc map correction in Square 4488 on March 28, 2012",Final,MU-7,Permits medium density mixed-use development,C-3-A,Mixed-Use Zone,,,0,0
151710,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151711,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,R-5-D,Residential Apartment Zone,,,0,0
151712,http://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,Amendments made based on ZC 10-19,Final,RA-3,Permits moderate to medium density apartments,R-5-C,Residential Apartment Zone,,,0,0
151713,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
151714,http://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,C-2-A,Mixed-Use Zone,,,0,0
